tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_est_0,tau_est_1,tau_est_2,tau_est_3,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3
-20.504382,8.540802,-2.71123,1.778168,-30.861145,11.770736,-1.242452,0.301449,0.011597,-0.02775,0.117889,0.009452,-0.574497,0.255129,0.019917,0.05827,-0.004454,-0.027216,0.130965,-0.278859
-19.507702,7.589298,-5.996025,3.344401,-29.101003,11.388017,-3.254455,0.603577,0.011597,-0.02775,0.119593,0.005615,-0.545265,0.224773,-0.107328,0.093686,0.008766,-0.006804,0.1615,-0.571313
-17.184097,4.7316,-9.392678,5.639943,-27.927575,10.628085,-4.911081,0.227986,0.011597,-0.02775,0.119406,-0.001174,-0.47888,0.127702,-0.282432,0.167833,0.008701,-0.03402,-0.326636,-0.707384
-12.211905,1.24729,-14.63274,8.074736,-23.233597,8.194589,-9.521655,-0.445166,0.011406,-0.028045,0.113355,-0.007669,-0.335753,0.011717,-0.537151,0.280489,0.03067,-0.027215,-0.814955,-0.435393
-6.963227,-0.592512,-20.953606,9.747845,-17.190845,4.962739,-16.546477,-0.620977,0.011596,-0.028341,0.103518,-0.011212,-0.183103,-0.055349,-0.81453,0.347133,0.074381,-0.108864,-0.998797,-0.39461
-3.737614,-1.148292,-26.04243,11.320775,-9.329416,2.294999,-25.564696,-1.92196,0.012164,-0.029818,0.091966,-0.015642,-0.085374,-0.08261,-1.054204,0.379497,0.161892,-0.217734,-1.30591,-0.72115
-1.447233,-1.152918,-29.574516,11.071652,-5.105652,0.695556,-32.496427,-3.177979,0.013871,-0.032475,0.077935,-0.021546,-0.014234,-0.091773,-1.217003,0.36308,0.231779,-0.313011,-1.399467,-0.728001
0.519618,-0.447206,-31.739569,9.576257,-2.641495,-0.900441,-39.177897,-5.330672,0.01634,-0.035133,0.063501,-0.029223,0.045452,-0.060928,-1.306944,0.315176,0.249651,-0.163322,-1.260778,-0.483141
2.193383,1.125342,-30.812531,8.783476,-0.998313,-0.67812,-41.376058,-6.278682,0.021286,-0.036315,0.049613,-0.037788,0.118291,-0.000619,-1.270628,0.259652,0.600896,-0.027231,-1.096747,-0.673738
3.33797,1.883324,-28.013906,6.85938,0.587505,-0.796774,-41.696845,-6.475674,0.027763,-0.034543,0.037796,-0.046649,0.170055,0.053638,-1.154866,0.166737,0.821125,0.381053,-0.901322,-0.762365
