Time,w_f_0,F_0,N1_0,N2_0,P3_0,T5_0
0.39,1.40301284265607,43.9667651767186,7739.20408706052,13320.4408792483,1900.64327010042,1248.90274305935
0.395,1.40688934684246,43.4758301308626,7738.71315201466,13319.9499442025,1900.15233505457,1248.41180801349
0.4,1.06634609653461,44.353198173517,7797.70861311438,13368.3304958695,1937.78034496793,1256.20359477257
0.405,1.06966448698484,43.3931023178319,7796.74851725869,13367.3704000138,1936.82024911224,1255.24349891689
0.41,1.07297598212114,41.3650312594853,7794.72044620035,13365.3423289554,1934.7921780539,1253.21542785854
0.415,1.07628050160872,44.2383396998166,7797.59375464068,13368.2156373958,1937.66548649423,1256.08873629887
0.42,1.07957796528723,44.3247544052136,7862.09365631547,13420.7677563946,1960.98224649313,1247.01691925854
0.425,1.08286829317267,42.0101515331494,7859.77905344341,13418.4531535225,1958.66764362106,1244.70231638648
0.43,1.08615140545946,47.9807464463756,7865.74964835664,13424.4237484357,1964.63823853429,1250.6729112997
0.435,1.08942722252241,46.2403414503213,7864.00924336058,13422.6833434397,1962.89783353824,1248.93250630365
0.44,1.0926956649187,44.7367264888751,7921.15061565757,13469.4773435859,1982.99144385451,1239.29626459111
0.445,1.09595665338988,43.0641273125531,7919.47801648125,13467.8047444096,1981.31884467819,1237.62366541479
0.45,1.09921010886385,43.8056667927515,7920.21955596145,13468.5462838898,1982.06038415839,1238.36520489499
0.455,1.10245595245683,44.2498202729885,7920.66370944169,13468.99043737,1982.50453763863,1238.80935837522
0.46,1.10569410547534,45.2786500251412,7975.60875764766,13514.8647150109,2003.84147510491,1232.5986780864
0.465,1.10892448941816,44.080420339521,7974.41052796204,13513.6664853253,2002.64324541929,1231.40044840078
0.47,1.11214702597831,44.0368304999631,7974.36693812249,13513.6228954858,2002.59965557974,1231.35685856122
0.475,1.11536163704497,44.574420558803,7974.90452818133,13514.1604855446,2003.13724563858,1231.89444862006
0.48,1.11856824470549,44.5708186242153,8024.97707813918,13556.1709187177,2019.83500018713,1220.02681090652
0.485,1.12176677124726,47.4877694960844,8027.89402901105,13559.0878695895,2022.751951059,1222.94376177839
0.49,1.12495713915975,44.5554097998717,8024.96166931484,13556.1555098933,2019.81959136278,1220.01140208218
0.495,1.12813927113635,46.7287625861706,8027.13502210113,13558.3288626796,2021.99294414908,1222.18475486848
0.5,0.94660894564267,49.3733920870835,8074.1878140247,13598.4500981775,2038.37789079027,1210.8605458667
0.505,0.949482331758402,44.9860407604066,8069.80046269802,13594.0627468508,2033.99053946359,1206.47319454002
0.51,0.952347251261567,47.0362569533414,8071.85067889095,13596.1129630437,2036.04075565653,1208.52341073296
0.515,0.95520362768071,45.4534066801495,8070.26782861776,13594.5301127705,2034.45790538334,1206.94056045976
0.52,0.958051384757952,46.2841995607892,8109.15537648586,13627.5835896048,2039.88221429974,1189.8529726526
0.525,0.960890446450896,44.6830933703353,8107.55427029541,13625.9824834144,2038.28110810929,1188.25186646214
0.53,0.963720736934533,49.1100196518588,8111.98119657693,13630.4094096959,2042.70803439081,1192.67879274367
0.535,0.966542180603129,46.7597438932105,8109.63092081829,13628.0591339373,2040.35775863216,1190.32851698502
0.54,0.969354702072123,46.6481909364978,8136.88598477448,13651.6947004676,2043.0281949901,1176.68407071631
0.545,0.972158226180008,46.8431064440936,8137.08090028207,13651.8896159752,2043.2231104977,1176.87898622391
0.55,0.974952677990209,46.6189308934083,8136.85672473139,13651.6654404245,2042.99893494702,1176.65481067322
0.555,0.977737982792961,45.3402140884272,8135.57800792641,13650.3867236195,2041.72021814203,1175.37609386824
0.56,0.98051406610717,46.8003756600654,8156.39014536306,13669.1777321525,2044.68658516951,1166.60456088158
0.565,0.983280853682282,48.4591452151843,8158.04891491817,13670.8365017077,2046.34535472463,1168.2633304367
0.57,0.986038271500134,49.9848511048651,8159.57462080786,13672.3622075973,2047.87106061431,1169.78903632638
0.575,0.988786245776807,47.0660504473583,8156.65582015035,13669.4434069398,2044.95225995681,1166.87023566887
0.58,0.991524702964471,43.6332524728513,8166.63384511228,13678.5290487095,2042.17739866741,1155.71588255591
0.585,0.994253569753221,49.0729592967879,8172.07355193622,13683.9687555335,2047.61710549135,1161.15558937985
0.59,0.996972773072912,46.8747438000402,8169.87533643947,13681.7705400367,2045.4188899946,1158.9573738831
0.595,0.999682240094986,48.9703717684958,8171.97096440792,13683.8661680052,2047.51451796306,1161.05300185156
0.6,0.834176014979874,48.4627762814281,8180.54356123362,13692.3164435923,2047.15808369675,1154.7511257884
0.605,0.836599835043019,46.9148547176906,8178.99563966988,13690.7685220285,2045.61016213302,1153.20320422466
0.61,0.839013701790566,45.9380858449486,8178.01887079714,13689.7917531558,2044.63339326027,1152.22643535192
0.615,0.841417543378446,49.0605856780782,8181.14137063027,13692.9142529889,2047.7558930934,1155.34893518505
0.62,0.843811288213222,45.8653348358647,8184.06924864814,13696.2156627114,2036.83624411256,1141.44739104338
0.625,0.846194864953872,46.1183031413253,8184.3222169536,13696.4686310168,2037.08921241802,1141.70035934884
0.63,0.848568202513577,48.4209391915875,8186.62485300386,13698.7712670671,2039.39184846828,1144.0029953991
0.635,0.850931230061497,47.5593888779244,8185.7633026902,13697.9097167534,2038.53029815462,1143.14144508544
0.64,0.853283877024542,44.6151223297027,8181.52360382348,13695.6506476092,2026.65397688655,1132.17195221491
0.645,0.855626073089136,46.5985703605146,8183.50705185429,13697.63409564,2028.63742491737,1134.15540024572
0.65,0.857957748202975,46.655978989622,8183.5644604834,13697.6915042691,2028.69483354647,1134.21280887483
0.655,0.860278832576778,46.659893753615,8183.56837524739,13697.6954190331,2028.69874831047,1134.21672363882
0.66,0.86258925668603,47.1671161022113,8177.38316237444,13694.6222232137,2019.55198824742,1128.76254040219
0.665,0.864888951272727,44.6736608438983,8174.88970711612,13692.1287679554,2017.05853298911,1126.26908514388
0.67,0.867177847347098,46.0440835482828,8176.26012982051,13693.4991906598,2018.42895569349,1127.63950784826
0.675,0.869455876189336,44.676979850559,8174.89302612278,13692.132086962,2017.06185199577,1126.27240415054
0.68,0.871722969351314,47.4941118939891,8167.20554159882,13688.3187468348,2009.8833071335,1124.7307735967
0.685,0.873979058658296,48.1053672743443,8167.81679697917,13688.9300022152,2010.49456251385,1125.34202897705
0.69,0.876224076210643,46.1365862907168,8165.84801599554,13686.9612212316,2008.52578153022,1123.37324799343
0.695,0.878457954385508,46.9393894427548,8166.65081914758,13687.7640243836,2009.32858468226,1124.17605114546
0.7,1.21512911735727,47.1437350194339,8153.77870811095,13679.2419181669,1999.49274503262,1121.27608725174
0.705,1.21786932452085,46.8453440014132,8153.48031709293,13678.9435271489,1999.19435401459,1120.97769623372
0.71,1.22059819111605,46.9943936313715,8153.62936672289,13679.0925767788,1999.34340364455,1121.12674586368
0.715,1.22331565064401,45.8709639942955,8152.50593708582,13677.9691471418,1998.21997400748,1120.0033162266
0.72,1.22602163689109,46.7379968975701,8138.4554189023,13668.523174994,2004.3466068955,1131.61238095343
0.725,1.22871608393044,44.3429697813512,8136.06039178609,13666.1281478778,2001.95157977928,1129.21735383721
0.73,1.23139892612373,46.8457611277612,8138.5631831325,13668.6309392242,2004.45437112569,1131.72014518362
0.735,1.23407009812272,47.8760899777613,8139.5935119825,13669.6612680742,2005.48469997569,1132.75047403362
0.74,1.23672953487093,45.9767195166818,8132.47945601752,13664.607295723,2011.71423377068,1139.58111544323
0.745,1.23937717160527,46.2407986434025,8132.74353514424,13664.8713748497,2011.9783128974,1139.84519456995
0.75,1.24201294385765,48.9821248508797,8135.48486135172,13667.6127010572,2014.71963910487,1142.58652077742
0.755,1.24463678745658,45.9456345545089,8132.44837105534,13664.5762107608,2011.6831488085,1139.55003048105
